param1,param2,param3,lik
0.001,0.75,0.2,-1220.8247492119212
0.001,0.75,0.25,-486.65074389629234
0.001,0.75,0.30000000000000004,-288.617431093863
0.001,0.75,0.35,-328.82112816995505
0.001,0.75,0.4,-261.7064897434553
0.001,0.75,0.45000000000000007,-253.25811187610663
0.001,0.75,0.5,-185.3068218629963
0.001,0.75,0.55,-192.92713419227948
0.001,0.75,0.6,-191.95099375525808
0.001,0.8,0.1,-Inf
0.001,0.8,0.15000000000000002,-Inf
0.001,0.8,0.2,-Inf
0.001,0.8,0.25,-691.6320253364513
0.001,0.8,0.30000000000000004,-337.20248789864866
0.001,0.8,0.35,-282.21162156151206
0.001,0.8,0.4,-221.57707286930417
0.001,0.8,0.45000000000000007,-Inf
0.001,0.8,0.5,-224.04014314303072
0.001,0.8,0.55,-189.76764602177093
0.001,0.8,0.6,-211.49627624026976
0.001,0.8500000000000001,0.1,-2739.6969019339663
0.001,0.8500000000000001,0.15000000000000002,-Inf
0.001,0.8500000000000001,0.2,-Inf
0.001,0.8500000000000001,0.25,-590.6568743256001
0.001,0.8500000000000001,0.30000000000000004,-Inf
0.001,0.8500000000000001,0.35,-309.8142175889984
0.001,0.8500000000000001,0.4,-221.60795532443132
0.001,0.8500000000000001,0.45000000000000007,-236.67546809344333
0.001,0.8500000000000001,0.5,-192.85760933289856
0.001,0.8500000000000001,0.55,-208.34456616354555
0.001,0.8500000000000001,0.6,-197.62285225238594
0.001,0.9,0.1,-2344.9918679314583
0.001,0.9,0.15000000000000002,-1327.265281241833
0.001,0.9,0.2,-Inf
0.001,0.9,0.25,-610.6413924013681
0.001,0.9,0.30000000000000004,-479.3272242466134
0.001,0.9,0.35,-Inf
0.001,0.9,0.4,-Inf
0.001,0.9,0.45000000000000007,-297.9896132595852
0.001,0.9,0.5,-Inf
0.001,0.9,0.55,-183.10893229896806
0.001,0.9,0.6,-222.3153338046647
0.001,0.95,0.1,-1694.5396677459473
0.001,0.95,0.15000000000000002,-1242.1046817212703
0.001,0.95,0.2,-1262.880300175556
0.001,0.95,0.25,-Inf
0.001,0.95,0.30000000000000004,-591.651624413935
0.001,0.95,0.35,-Inf
0.001,0.95,0.4,-261.1021321103637
0.001,0.95,0.45000000000000007,-210.71280930111243
0.001,0.95,0.5,-220.06060689144874
0.001,0.95,0.55,-190.17462751960625
0.001,0.95,0.6,-199.85858820268993
0.001,1,0.1,-Inf
0.001,1,0.15000000000000002,-Inf
0.001,1,0.2,-Inf
0.001,1,0.25,-Inf
0.001,1,0.30000000000000004,-485.6345843680575
0.001,1,0.35,-Inf
0.001,1,0.4,-277.0027932976716
0.001,1,0.45000000000000007,-239.17012540365636
0.001,1,0.5,-219.8684221288109
0.001,1,0.55,-180.82105497633768
